condition,nbin,feature,I_raw,I_null,I_corrected,n_used
within_F,10,B5,1.0921742941436028,0.7651316290560835,0.32704266508751934,1920
within_F,10,Nasality,0.9723141160570048,0.7747092437084242,0.1976048723485806,1905
within_F,10,spectral_skewness,1.0362056505512864,0.7697372219633684,0.2664684285879181,1913
within_F,10,spectral_kurtosis,1.078301325102343,0.7683107625167949,0.30999056258554814,1920
within_F,10,spectral_entropy,1.053042687921149,0.7672290293637996,0.2858136585573494,1920
within_F,10,spectral_rolloff,0.8707776477072819,0.7640909267820077,0.1066867209252742,1920
within_F,10,spectral_flux,1.4412755748070065,0.7679395662008426,0.6733360086061639,1920
within_F,10,alpha_ratio,0.8906951346448775,0.7663589199126939,0.12433621473218359,1920
within_F,10,LHR,1.0975849116909169,0.7657719602794234,0.3318129514114935,1920
within_F,10,SPI,0.9911587946368918,0.766620962241448,0.22453783239544378,1920
within_F,10,GNE,1.0915996050562269,0.7646085289178604,0.32699107613836653,1920
within_F,10,SSPF,1.0300164706153163,0.8133923687224269,0.2166241018928894,1810
within_F,10,CPP,1.1077654756195034,0.7642187906334658,0.3435466849860377,1920
within_F,10,dCPP,0.9054850918937234,0.765469566168416,0.1400155257253074,1920
within_F,10,RMS,1.5851057472012746,0.7668739818840219,0.8182317653172527,1920
within_F,10,AMD,0.8989448060391974,0.7655894286100415,0.13335537742915582,1920
within_F,10,speech_rate,0.9894151894647027,0.7656700228982846,0.22374516656641819,1920
within_F,10,VOT,0.8467973305831116,0.7931848445707694,0.05361248601234214,1858
within_F,10,BGD,0.8095360805585976,0.7671599075967152,0.04237617296188245,1920
within_M,2,F0,0.7232080312835141,0.07580330135738518,0.6474047299261289,4380
within_M,2,jitter,0.29012355482466035,0.07648819624486547,0.21363535857979488,4380
within_M,2,shimmer,0.22624036526099012,0.07671497716987645,0.14952538809111365,4380
within_M,2,GCT,0.47259777944470294,0.07586423047048946,0.3967335489742135,4380
within_M,2,CQ,0.5172118837762678,0.07553073897439092,0.4416811448018769,4380
within_M,2,MFDR,0.65397823593079,0.07616161406234828,0.5778166218684417,4380
within_M,2,SQ,0.19210894669515355,0.07650302267806407,0.11560592401708948,4380
within_M,2,NAQ,0.24715948933434717,0.07651574061787014,0.17064374871647703,4380
within_M,2,SHR,0.6984192808323471,0.07579494655281417,0.6226243342795329,4380
within_M,2,IHI,0.5485394491928197,0.07624370844794,0.47229574074487973,4380
within_M,2,VFI,0.48706866064005183,0.15536034266657234,0.3317083179734795,4380
within_M,2,semitone_SD_F0,0.4208269085589471,0.07639366153137427,0.34443324702757283,4380
within_M,2,F1,0.19432157514495785,0.07624274757965109,0.11807882756530676,4380
within_M,2,F2,0.15755600320848906,0.0754733843325806,0.08208261887590845,4380
within_M,2,F3,0.3852220688565051,0.07606710847738914,0.309154960379116,4380
within_M,2,F4,0.5784831606460141,0.07572460866793866,0.5027585519780755,4380
within_M,2,F5,0.44948546191976924,0.07620494287038976,0.3732805190493795,4380
within_M,2,B1,0.41021157710579637,0.07640552008858417,0.3338060570172122,4380
within_M,2,B2,0.42244985692438597,0.07584124578901327,0.34660861113537267,4380
within_M,2,B3,0.2999719365077489,0.07673082317393777,0.22324111333381114,4380
within_M,2,B4,0.37993428444519495,0.07564193916395787,0.30429234528123705,4380
within_M,2,B5,0.3555486310203566,0.07624921030367156,0.27929942071668507,4380
within_M,2,Nasality,0.23516474448881652,0.08058558206613528,0.15457916242268124,4290
